pass,fail,crash,total,timestamp
49,0,0,49,2026-03-27 10:38:33
49,0,0,49,2026-03-27 10:39:33
49,0,0,49,2026-03-27 10:40:34
49,0,0,49,2026-03-27 10:41:35
49,0,0,49,2026-03-27 10:42:35
49,0,0,49,2026-03-27 10:43:36
49,0,0,49,2026-03-27 10:44:36
49,0,0,49,2026-03-27 10:45:36
49,0,0,49,2026-03-27 10:46:37
49,0,0,49,2026-03-27 10:47:37
49,0,0,49,2026-03-27 10:48:38
49,0,0,49,2026-03-27 10:49:38
49,0,0,49,2026-03-27 10:50:38
49,0,0,49,2026-03-27 10:51:39
49,0,0,49,2026-03-27 10:52:39
49,0,0,49,2026-03-27 10:53:40
49,0,0,49,2026-03-27 10:54:40
49,0,0,49,2026-03-27 10:55:40
49,0,0,49,2026-03-27 10:56:41
49,0,0,49,2026-03-27 10:57:41
49,0,0,49,2026-03-27 10:58:41
49,0,0,49,2026-03-27 10:59:42
49,0,0,49,2026-03-27 11:00:42
49,0,0,49,2026-03-27 11:01:42
49,0,0,49,2026-03-27 11:02:43
49,0,0,49,2026-03-27 11:03:43
49,0,0,49,2026-03-27 11:04:44
49,0,0,49,2026-03-27 11:05:44
49,0,0,49,2026-03-27 11:06:44
49,0,0,49,2026-03-27 11:07:45
49,0,0,49,2026-03-27 11:08:45
49,0,0,49,2026-03-27 11:09:45
49,0,0,49,2026-03-27 11:10:46
49,0,0,49,2026-03-27 11:11:46
49,0,0,49,2026-03-27 11:12:46
49,0,0,49,2026-03-27 11:13:47
49,0,0,49,2026-03-27 11:14:47
49,0,0,49,2026-03-27 11:15:48
49,0,0,49,2026-03-27 11:16:48
49,0,0,49,2026-03-27 11:17:48
49,0,0,49,2026-03-27 11:18:49
49,0,0,49,2026-03-27 11:19:49
49,0,0,49,2026-03-27 11:20:49
49,0,0,49,2026-03-27 11:21:50
49,0,0,49,2026-03-27 11:22:50
49,0,0,49,2026-03-27 11:23:51
49,0,0,49,2026-03-27 11:24:51
49,0,0,49,2026-03-27 11:25:52
49,0,0,49,2026-03-27 11:26:52
49,0,0,49,2026-03-27 11:31:54
49,0,0,49,2026-03-27 11:32:55
49,0,0,49,2026-03-27 11:33:55
49,0,0,49,2026-03-27 11:34:55
49,0,0,49,2026-03-27 11:35:56
49,0,0,49,2026-03-27 11:36:56
49,0,0,49,2026-03-27 11:37:57
49,0,0,49,2026-03-27 11:38:57
49,0,0,49,2026-03-27 11:39:57
49,0,0,49,2026-03-27 11:40:58
49,0,0,49,2026-03-27 11:41:58
49,0,0,49,2026-03-27 11:42:59
49,0,0,49,2026-03-27 11:43:59
49,0,0,49,2026-03-27 11:44:59
49,0,0,49,2026-03-27 11:46:00
49,0,0,49,2026-03-27 11:47:00
49,0,0,49,2026-03-27 11:48:01
49,0,0,49,2026-03-27 11:49:01
49,0,0,49,2026-03-27 11:50:01
49,0,0,49,2026-03-27 11:51:02
49,0,0,49,2026-03-27 11:52:02
49,0,0,49,2026-03-27 11:53:02
49,0,0,49,2026-03-27 11:54:03
49,0,0,49,2026-03-27 11:55:03
49,0,0,49,2026-03-27 11:56:04
49,0,0,49,2026-03-27 11:57:04
49,0,0,49,2026-03-27 11:58:04
49,0,0,49,2026-03-27 11:59:05
49,0,0,49,2026-03-27 12:00:05
49,0,0,49,2026-03-27 12:01:06
49,0,0,49,2026-03-27 12:02:06
49,0,0,49,2026-03-27 12:03:07
